Airline,Flight Number,Source City,Departure Time,Number of Stops,Arrival Time,Destination City,Duration (Minutes),Price
Norse Atlantic Airways,312,Los Angeles,2024-06-24T21:10:00,1,2024-06-25T19:50:00,London,880,$452
British Airways,280,Los Angeles,2024-06-24T17:10:00,0,2024-06-25T11:30:00,London,620,$908
Alaska Airlines,8036,Los Angeles,2024-06-24T14:20:00,0,2024-06-25T09:00:00,London,640,$857
British Airways,268,Los Angeles,2024-06-24T19:40:00,0,2024-06-25T14:00:00,London,620,$908
Aer Lingus,8980,Los Angeles,2024-06-24T17:10:00,0,2024-06-25T11:30:00,London,620,$918
Aer Lingus,8968,Los Angeles,2024-06-24T19:40:00,0,2024-06-25T14:00:00,London,620,$918
Alaska Airlines,8034,Los Angeles,2024-06-24T18:10:00,0,2024-06-25T12:50:00,London,640,$857
British Airways,268,Los Angeles,2024-06-25T19:40:00,0,2024-06-26T14:00:00,London,620,$698
British Airways,282,Los Angeles,2024-06-25T15:50:00,0,2024-06-26T10:10:00,London,620,$698
British Airways,1613,Los Angeles,2024-06-25T21:30:00,0,2024-06-26T16:05:00,London,635,$698
British Airways,1604,Los Angeles,2024-06-25T18:10:00,0,2024-06-26T12:50:00,London,640,$698
British Airways,1509,Los Angeles,2024-06-25T14:20:00,0,2024-06-26T09:00:00,London,640,$698
Alaska Airlines,8038,Los Angeles,2024-06-25T21:30:00,0,2024-06-26T16:05:00,London,635,$698
Alaska Airlines,8034,Los Angeles,2024-06-25T18:10:00,0,2024-06-26T12:50:00,London,640,$698
Alaska Airlines,8036,Los Angeles,2024-06-25T14:20:00,0,2024-06-26T09:00:00,London,640,$698
Air France,9275,Los Angeles,2024-06-25T19:10:00,0,2024-06-26T13:30:00,London,620,$721
Air France,6757,Los Angeles,2024-06-25T15:55:00,0,2024-06-26T10:15:00,London,620,$721
Norse Atlantic Airways (UK),712,Los Angeles,2024-06-26T16:30:00,0,2024-06-27T10:55:00,London,625,$260
British Airways,282,Los Angeles,2024-06-26T15:50:00,0,2024-06-27T10:10:00,London,620,$908
Virgin Atlantic,142,Los Angeles,2024-06-26T19:10:00,0,2024-06-27T13:30:00,London,620,$908
Virgin Atlantic,8,Los Angeles,2024-06-26T15:55:00,0,2024-06-27T10:15:00,London,620,$908
Alaska Airlines,8036,Los Angeles,2024-06-26T14:20:00,0,2024-06-27T09:00:00,London,640,$850
Norse Atlantic Airways,312,Los Angeles,2024-06-26T21:10:00,1,2024-06-27T19:35:00,London,865,$441
Alaska Airlines,8038,Los Angeles,2024-06-26T21:30:00,0,2024-06-27T16:05:00,London,635,$850
Alaska Airlines,8034,Los Angeles,2024-06-26T18:10:00,0,2024-06-27T12:50:00,London,640,$850
Virgin Atlantic,24,Los Angeles,2024-06-26T22:55:00,0,2024-06-27T17:15:00,London,620,$908
Norse Atlantic Airways,312,Los Angeles,2024-06-26T21:10:00,1,2024-06-27T19:30:00,London,860,$429
Norse Atlantic Airways (UK),712,Los Angeles,2024-06-27T16:30:00,0,2024-06-28T10:55:00,London,625,$259
Virgin Atlantic,142,Los Angeles,2024-06-27T19:10:00,0,2024-06-28T13:30:00,London,620,$958
Virgin Atlantic,24,Los Angeles,2024-06-27T22:55:00,0,2024-06-28T17:15:00,London,620,$958
Virgin Atlantic,8,Los Angeles,2024-06-27T15:55:00,0,2024-06-28T10:15:00,London,620,$958
British Airways,268,Los Angeles,2024-06-27T19:40:00,0,2024-06-28T14:00:00,London,620,"$1,002"
Delta,5976,Los Angeles,2024-06-27T22:55:00,0,2024-06-28T17:15:00,London,620,$958
Delta,5925,Los Angeles,2024-06-27T19:10:00,0,2024-06-28T13:30:00,London,620,$958
British Airways,1613,Los Angeles,2024-06-27T21:30:00,0,2024-06-28T16:05:00,London,635,"$1,002"
Delta,5978,Los Angeles,2024-06-27T15:55:00,0,2024-06-28T10:15:00,London,620,$958
Alaska Airlines,8038,Los Angeles,2024-06-27T21:30:00,0,2024-06-28T16:05:00,London,635,$958
Norse Atlantic Airways (UK),712,Los Angeles,2024-06-28T16:30:00,0,2024-06-29T10:55:00,London,625,$261
Virgin Atlantic,142,Los Angeles,2024-06-28T19:10:00,0,2024-06-29T13:30:00,London,620,$958
Virgin Atlantic,24,Los Angeles,2024-06-28T22:55:00,0,2024-06-29T17:15:00,London,620,$958
Virgin Atlantic,8,Los Angeles,2024-06-28T15:55:00,0,2024-06-29T10:15:00,London,620,$958
Delta,5976,Los Angeles,2024-06-28T22:55:00,0,2024-06-29T17:15:00,London,620,$958
Delta,5925,Los Angeles,2024-06-28T19:10:00,0,2024-06-29T13:30:00,London,620,$958
British Airways,1613,Los Angeles,2024-06-28T21:30:00,0,2024-06-29T16:05:00,London,635,"$1,008"
Alaska Airlines,8038,Los Angeles,2024-06-28T21:30:00,0,2024-06-29T16:05:00,London,635,$958
Delta,5978,Los Angeles,2024-06-28T15:55:00,0,2024-06-29T10:15:00,London,620,$958
Alaska Airlines,8034,Los Angeles,2024-06-28T18:10:00,0,2024-06-29T12:50:00,London,640,$957
Norse Atlantic Airways (UK),712,Los Angeles,2024-06-29T16:30:00,0,2024-06-30T10:55:00,London,625,$244
British Airways,268,Los Angeles,2024-06-29T19:40:00,0,2024-06-30T14:00:00,London,620,$798
British Airways,1509,Los Angeles,2024-06-29T14:20:00,0,2024-06-30T09:00:00,London,640,$798
Air France,9275,Los Angeles,2024-06-29T19:10:00,0,2024-06-30T13:30:00,London,620,$771
Air France,6757,Los Angeles,2024-06-29T15:55:00,0,2024-06-30T10:15:00,London,620,$771
British Airways,1613,Los Angeles,2024-06-29T21:30:00,0,2024-06-30T16:05:00,London,635,$798
British Airways,1604,Los Angeles,2024-06-29T18:10:00,0,2024-06-30T12:50:00,London,640,$798
KLM,4831,Los Angeles,2024-06-29T15:55:00,0,2024-06-30T10:15:00,London,620,$771
Alaska Airlines,8036,Los Angeles,2024-06-29T14:20:00,0,2024-06-30T09:00:00,London,640,$797
KLM,2513,Los Angeles,2024-06-29T19:10:00,0,2024-06-30T13:30:00,London,620,$771
Norse Atlantic Airways (UK),712,Los Angeles,2024-06-30T16:30:00,0,2024-07-01T10:55:00,London,625,$244
British Airways,1509,Los Angeles,2024-06-30T14:20:00,0,2024-07-01T09:00:00,London,640,$698
British Airways,1604,Los Angeles,2024-06-30T18:10:00,0,2024-07-01T12:50:00,London,640,$698
British Airways,1613,Los Angeles,2024-06-30T21:30:00,0,2024-07-01T16:05:00,London,635,$698
Alaska Airlines,8036,Los Angeles,2024-06-30T14:20:00,0,2024-07-01T09:00:00,London,640,$697
Air France,6757,Los Angeles,2024-06-30T15:55:00,0,2024-07-01T10:15:00,London,620,$721
Alaska Airlines,8034,Los Angeles,2024-06-30T18:10:00,0,2024-07-01T12:50:00,London,640,$697
Iberia,4237,Los Angeles,2024-06-30T14:20:00,0,2024-07-01T09:00:00,London,640,$698
Alaska Airlines,8038,Los Angeles,2024-06-30T21:30:00,0,2024-07-01T16:05:00,London,635,$697
Air France,9275,Los Angeles,2024-06-30T19:10:00,0,2024-07-01T13:30:00,London,620,$721
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-01T16:30:00,0,2024-07-02T10:55:00,London,625,$244
Norse Atlantic Airways,312,Los Angeles,2024-07-01T21:10:00,1,2024-07-02T19:25:00,London,855,$373
Norse Atlantic Airways,312,Los Angeles,2024-07-01T21:10:00,1,2024-07-02T19:50:00,London,880,$426
French Bee,731,Los Angeles,2024-07-01T19:45:00,1,2024-07-02T17:55:00,London,850,$467
Alaska Airlines,8036,Los Angeles,2024-07-01T14:20:00,0,2024-07-02T09:00:00,London,640,$857
Norse Atlantic Airways,312,Los Angeles,2024-07-01T21:10:00,1,2024-07-02T21:25:00,London,975,$412
British Airways,280,Los Angeles,2024-07-01T17:10:00,0,2024-07-02T11:30:00,London,620,$908
British Airways,268,Los Angeles,2024-07-01T19:40:00,0,2024-07-02T14:00:00,London,620,$908
Norse Atlantic Airways,312,Los Angeles,2024-07-01T21:10:00,1,2024-07-02T22:50:00,London,1060,$372
Virgin Atlantic,142,Los Angeles,2024-07-01T19:10:00,0,2024-07-02T13:30:00,London,620,$908
Virgin Atlantic,142,Los Angeles,2024-07-02T19:10:00,0,2024-07-03T13:30:00,London,620,$908
British Airways,268,Los Angeles,2024-07-02T19:40:00,0,2024-07-03T14:00:00,London,620,$914
Virgin Atlantic,8,Los Angeles,2024-07-02T15:55:00,0,2024-07-03T10:15:00,London,620,$908
British Airways,280,Los Angeles,2024-07-02T17:10:00,0,2024-07-03T11:30:00,London,620,$914
Virgin Atlantic,24,Los Angeles,2024-07-02T22:55:00,0,2024-07-03T17:15:00,London,620,$908
Delta,5978,Los Angeles,2024-07-02T15:55:00,0,2024-07-03T10:15:00,London,620,$908
Delta,5925,Los Angeles,2024-07-02T19:10:00,0,2024-07-03T13:30:00,London,620,$908
British Airways,1613,Los Angeles,2024-07-02T21:30:00,0,2024-07-03T16:05:00,London,635,$914
British Airways,1509,Los Angeles,2024-07-02T14:20:00,0,2024-07-03T09:00:00,London,640,$914
British Airways,1604,Los Angeles,2024-07-02T18:10:00,0,2024-07-03T12:50:00,London,640,$914
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-03T16:30:00,0,2024-07-04T10:55:00,London,625,$259
Virgin Atlantic,142,Los Angeles,2024-07-03T19:10:00,0,2024-07-04T13:30:00,London,620,$908
Virgin Atlantic,8,Los Angeles,2024-07-03T15:55:00,0,2024-07-04T10:15:00,London,620,$908
Alaska Airlines,8036,Los Angeles,2024-07-03T14:20:00,0,2024-07-04T09:00:00,London,640,$857
Alaska Airlines,8038,Los Angeles,2024-07-03T21:30:00,0,2024-07-04T16:05:00,London,635,$857
Alaska Airlines,8034,Los Angeles,2024-07-03T18:10:00,0,2024-07-04T12:50:00,London,640,$857
Delta,5925,Los Angeles,2024-07-03T19:10:00,0,2024-07-04T13:30:00,London,620,$908
American Airlines,6983,Los Angeles,2024-07-03T19:40:00,0,2024-07-04T14:00:00,London,620,$908
Delta,5978,Los Angeles,2024-07-03T15:55:00,0,2024-07-04T10:15:00,London,620,$908
Delta,5976,Los Angeles,2024-07-03T22:55:00,0,2024-07-04T17:15:00,London,620,$908
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-04T16:30:00,0,2024-07-05T10:55:00,London,625,$287
Norse Atlantic Airways,312,Los Angeles,2024-07-04T21:10:00,1,2024-07-05T19:25:00,London,855,$322
Norse Atlantic Airways,312,Los Angeles,2024-07-04T21:10:00,1,2024-07-05T21:00:00,London,950,$333
Norse Atlantic Airways,312,Los Angeles,2024-07-04T21:10:00,1,2024-07-05T22:05:00,London,1015,$330
Norse Atlantic Airways,312,Los Angeles,2024-07-04T21:10:00,1,2024-07-05T20:35:00,London,925,$413
Virgin Atlantic,142,Los Angeles,2024-07-04T19:10:00,0,2024-07-05T13:30:00,London,620,$958
Virgin Atlantic,24,Los Angeles,2024-07-04T22:55:00,0,2024-07-05T17:15:00,London,620,$958
Virgin Atlantic,8,Los Angeles,2024-07-04T15:55:00,0,2024-07-05T10:15:00,London,620,$958
French Bee,731,Los Angeles,2024-07-04T19:45:00,1,2024-07-05T19:25:00,London,940,$426
Delta,5925,Los Angeles,2024-07-04T19:10:00,0,2024-07-05T13:30:00,London,620,$958
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-05T16:30:00,0,2024-07-06T10:55:00,London,625,$227
Norse Atlantic Airways,312,Los Angeles,2024-07-05T21:10:00,1,2024-07-06T19:25:00,London,855,$417
WestJet,1525,Los Angeles,2024-07-05T14:40:00,1,2024-07-06T12:00:00,London,800,$538
Virgin Atlantic,142,Los Angeles,2024-07-05T19:10:00,0,2024-07-06T13:30:00,London,620,$958
Virgin Atlantic,24,Los Angeles,2024-07-05T22:55:00,0,2024-07-06T17:15:00,London,620,$958
Norse Atlantic Airways,312,Los Angeles,2024-07-05T21:10:00,1,2024-07-06T19:25:00,London,855,$479
Virgin Atlantic,8,Los Angeles,2024-07-05T15:55:00,0,2024-07-06T10:15:00,London,620,$958
Delta,5976,Los Angeles,2024-07-05T22:55:00,0,2024-07-06T17:15:00,London,620,$958
Delta,5925,Los Angeles,2024-07-05T19:10:00,0,2024-07-06T13:30:00,London,620,$958
French Bee,731,Los Angeles,2024-07-05T19:45:00,1,2024-07-06T19:30:00,London,945,$454
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-06T16:30:00,0,2024-07-07T10:55:00,London,625,$229
British Airways,282,Los Angeles,2024-07-06T15:50:00,0,2024-07-07T10:10:00,London,620,$798
British Airways,280,Los Angeles,2024-07-06T17:10:00,0,2024-07-07T11:30:00,London,620,$798
British Airways,268,Los Angeles,2024-07-06T19:40:00,0,2024-07-07T14:00:00,London,620,$798
Air France,6757,Los Angeles,2024-07-06T15:55:00,0,2024-07-07T10:15:00,London,620,$771
Air France,9275,Los Angeles,2024-07-06T19:10:00,0,2024-07-07T13:30:00,London,620,$771
Air France,9654,Los Angeles,2024-07-06T22:55:00,0,2024-07-07T17:15:00,London,620,$771
Alaska Airlines,8036,Los Angeles,2024-07-06T14:30:00,0,2024-07-07T09:00:00,London,630,$797
KLM,4831,Los Angeles,2024-07-06T15:55:00,0,2024-07-07T10:15:00,London,620,$771
Alaska Airlines,8034,Los Angeles,2024-07-06T18:20:00,0,2024-07-07T12:50:00,London,630,$797
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-07T16:30:00,0,2024-07-08T10:55:00,London,625,$230
Norse Atlantic Airways,312,Los Angeles,2024-07-07T21:10:00,1,2024-07-08T21:15:00,London,965,$252
Norse Atlantic Airways,312,Los Angeles,2024-07-07T21:10:00,1,2024-07-08T22:55:00,London,1065,$248
Norse Atlantic Airways,312,Los Angeles,2024-07-07T21:10:00,1,2024-07-08T21:25:00,London,975,$286
Norse Atlantic Airways,312,Los Angeles,2024-07-07T21:10:00,1,2024-07-08T21:50:00,London,1000,$303
Norse Atlantic Airways,312,Los Angeles,2024-07-07T21:10:00,1,2024-07-09T07:00:00,London,1550,$252
Norse Atlantic Airways,312,Los Angeles,2024-07-07T21:10:00,1,2024-07-09T07:30:00,London,1580,$251
Alaska Airlines,8036,Los Angeles,2024-07-07T14:30:00,0,2024-07-08T09:00:00,London,630,$857
Alaska Airlines,8034,Los Angeles,2024-07-07T18:20:00,0,2024-07-08T12:50:00,London,630,$857
Alaska Airlines,8038,Los Angeles,2024-07-07T21:35:00,0,2024-07-08T16:05:00,London,630,$857
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-08T16:30:00,0,2024-07-09T10:55:00,London,625,$229
Alaska Airlines,8034,Los Angeles,2024-07-08T18:20:00,0,2024-07-09T12:50:00,London,630,$458
Alaska Airlines,8038,Los Angeles,2024-07-08T21:35:00,0,2024-07-09T16:05:00,London,630,$458
Alaska Airlines,8036,Los Angeles,2024-07-08T14:30:00,0,2024-07-09T09:00:00,London,630,$482
Finnair,5784,Los Angeles,2024-07-08T14:30:00,0,2024-07-09T09:00:00,London,630,$481
Iberia,4237,Los Angeles,2024-07-08T14:30:00,0,2024-07-09T09:00:00,London,630,$473
Finnair,4013,Los Angeles,2024-07-08T18:20:00,0,2024-07-09T12:50:00,London,630,$481
Finnair,4092,Los Angeles,2024-07-08T21:35:00,0,2024-07-09T16:05:00,London,630,$481
Iberia,4262,Los Angeles,2024-07-08T18:20:00,0,2024-07-09T12:50:00,London,630,$473
Iberia,4819,Los Angeles,2024-07-08T21:35:00,0,2024-07-09T16:05:00,London,630,$473
Virgin Atlantic,142,Los Angeles,2024-07-09T19:10:00,0,2024-07-10T13:30:00,London,620,$608
British Airways,268,Los Angeles,2024-07-09T19:40:00,0,2024-07-10T14:00:00,London,620,$607
Virgin Atlantic,8,Los Angeles,2024-07-09T15:55:00,0,2024-07-10T10:15:00,London,620,$608
British Airways,1604,Los Angeles,2024-07-09T18:20:00,0,2024-07-10T12:50:00,London,630,$607
British Airways,1509,Los Angeles,2024-07-09T14:30:00,0,2024-07-10T09:00:00,London,630,$607
Delta,5925,Los Angeles,2024-07-09T19:10:00,0,2024-07-10T13:30:00,London,620,$608
Delta,5978,Los Angeles,2024-07-09T15:55:00,0,2024-07-10T10:15:00,London,620,$608
Alaska Airlines,8034,Los Angeles,2024-07-09T18:20:00,0,2024-07-10T12:50:00,London,630,$598
British Airways,1613,Los Angeles,2024-07-09T21:35:00,0,2024-07-10T16:05:00,London,630,$607
Virgin Atlantic,24,Los Angeles,2024-07-09T22:55:00,0,2024-07-10T17:15:00,London,620,$608
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-10T16:30:00,0,2024-07-11T10:55:00,London,625,$227
Virgin Atlantic,142,Los Angeles,2024-07-10T19:10:00,0,2024-07-11T13:30:00,London,620,$608
Virgin Atlantic,8,Los Angeles,2024-07-10T15:55:00,0,2024-07-11T10:15:00,London,620,$608
British Airways,1509,Los Angeles,2024-07-10T14:30:00,0,2024-07-11T09:00:00,London,630,$608
Virgin Atlantic,24,Los Angeles,2024-07-10T22:55:00,0,2024-07-11T17:15:00,London,620,$608
British Airways,1613,Los Angeles,2024-07-10T21:35:00,0,2024-07-11T16:05:00,London,630,$608
British Airways,1604,Los Angeles,2024-07-10T18:20:00,0,2024-07-11T12:50:00,London,630,$608
Alaska Airlines,8034,Los Angeles,2024-07-10T18:20:00,0,2024-07-11T12:50:00,London,630,$595
Alaska Airlines,8036,Los Angeles,2024-07-10T14:30:00,0,2024-07-11T09:00:00,London,630,$595
Alaska Airlines,8038,Los Angeles,2024-07-10T21:35:00,0,2024-07-11T16:05:00,London,630,$595
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-11T16:30:00,0,2024-07-12T10:55:00,London,625,$229
United,923,Los Angeles,2024-07-11T17:00:00,0,2024-07-12T11:25:00,London,625,$628
United,231,Los Angeles,2024-07-11T13:00:00,0,2024-07-12T07:25:00,London,625,$628
Virgin Atlantic,142,Los Angeles,2024-07-11T19:10:00,0,2024-07-12T13:30:00,London,620,$658
Virgin Atlantic,8,Los Angeles,2024-07-11T15:55:00,0,2024-07-12T10:15:00,London,620,$658
Virgin Atlantic,24,Los Angeles,2024-07-11T22:55:00,0,2024-07-12T17:15:00,London,620,$658
Delta,5925,Los Angeles,2024-07-11T19:10:00,0,2024-07-12T13:30:00,London,620,$658
Delta,5976,Los Angeles,2024-07-11T22:55:00,0,2024-07-12T17:15:00,London,620,$658
Delta,5978,Los Angeles,2024-07-11T15:55:00,0,2024-07-12T10:15:00,London,620,$658
British Airways,268,Los Angeles,2024-07-11T19:40:00,0,2024-07-12T14:00:00,London,620,$708
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-12T16:30:00,0,2024-07-13T10:55:00,London,625,$236
Virgin Atlantic,142,Los Angeles,2024-07-12T19:10:00,0,2024-07-13T13:30:00,London,620,$658
Virgin Atlantic,24,Los Angeles,2024-07-12T22:55:00,0,2024-07-13T17:15:00,London,620,$658
Virgin Atlantic,8,Los Angeles,2024-07-12T15:55:00,0,2024-07-13T10:15:00,London,620,$658
Delta,5925,Los Angeles,2024-07-12T19:10:00,0,2024-07-13T13:30:00,London,620,$658
Delta,5976,Los Angeles,2024-07-12T22:55:00,0,2024-07-13T17:15:00,London,620,$658
Delta,5978,Los Angeles,2024-07-12T15:55:00,0,2024-07-13T10:15:00,London,620,$658
British Airways,268,Los Angeles,2024-07-12T19:40:00,0,2024-07-13T14:00:00,London,620,$709
British Airways,1613,Los Angeles,2024-07-12T21:35:00,0,2024-07-13T16:05:00,London,630,$709
British Airways,1604,Los Angeles,2024-07-12T18:20:00,0,2024-07-13T12:50:00,London,630,$709
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-13T16:30:00,0,2024-07-14T10:55:00,London,625,$236
Virgin Atlantic,8,Los Angeles,2024-07-13T15:55:00,0,2024-07-14T10:15:00,London,620,$509
Virgin Atlantic,142,Los Angeles,2024-07-13T19:10:00,0,2024-07-14T13:30:00,London,620,$509
Virgin Atlantic,24,Los Angeles,2024-07-13T22:55:00,0,2024-07-14T17:15:00,London,620,$509
Virgin Atlantic,1955,Los Angeles,2024-07-13T13:30:00,1,2024-07-14T10:00:00,London,750,$513
Delta,5978,Los Angeles,2024-07-13T15:55:00,0,2024-07-14T10:15:00,London,620,$658
Delta,5925,Los Angeles,2024-07-13T19:10:00,0,2024-07-14T13:30:00,London,620,$658
Delta,5976,Los Angeles,2024-07-13T22:55:00,0,2024-07-14T17:15:00,London,620,$658
Lufthansa,9336,Los Angeles,2024-07-13T13:00:00,0,2024-07-14T07:25:00,London,625,$678
British Airways,280,Los Angeles,2024-07-13T17:10:00,0,2024-07-14T11:30:00,London,620,$714
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-14T16:30:00,0,2024-07-15T10:55:00,London,625,$236
Virgin Atlantic,8,Los Angeles,2024-07-14T15:55:00,0,2024-07-15T10:15:00,London,620,$608
Virgin Atlantic,142,Los Angeles,2024-07-14T19:10:00,0,2024-07-15T13:30:00,London,620,$608
Delta,5978,Los Angeles,2024-07-14T15:55:00,0,2024-07-15T10:15:00,London,620,$608
Virgin Atlantic,24,Los Angeles,2024-07-14T22:55:00,0,2024-07-15T17:15:00,London,620,$608
Delta,5925,Los Angeles,2024-07-14T19:10:00,0,2024-07-15T13:30:00,London,620,$608
Lufthansa,9336,Los Angeles,2024-07-14T13:00:00,0,2024-07-15T07:25:00,London,625,$628
Delta,5976,Los Angeles,2024-07-14T22:55:00,0,2024-07-15T17:15:00,London,620,$608
Iberia,7440,Los Angeles,2024-07-14T15:50:00,0,2024-07-15T10:10:00,London,620,$608
Finnair,5470,Los Angeles,2024-07-14T17:10:00,0,2024-07-15T11:30:00,London,620,$611
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-15T16:30:00,0,2024-07-16T10:55:00,London,625,$236
Virgin Atlantic,8,Los Angeles,2024-07-15T15:55:00,0,2024-07-16T10:15:00,London,620,$608
British Airways,1509,Los Angeles,2024-07-15T14:30:00,0,2024-07-16T09:00:00,London,630,$608
British Airways,280,Los Angeles,2024-07-15T17:10:00,0,2024-07-16T11:30:00,London,620,$608
British Airways,268,Los Angeles,2024-07-15T19:40:00,0,2024-07-16T14:00:00,London,620,$608
Virgin Atlantic,142,Los Angeles,2024-07-15T19:10:00,0,2024-07-16T13:30:00,London,620,$608
British Airways,1604,Los Angeles,2024-07-15T18:20:00,0,2024-07-16T12:50:00,London,630,$608
Virgin Atlantic,24,Los Angeles,2024-07-15T22:55:00,0,2024-07-16T17:15:00,London,620,$608
Delta,5978,Los Angeles,2024-07-15T15:55:00,0,2024-07-16T10:15:00,London,620,$608
British Airways,1613,Los Angeles,2024-07-15T21:35:00,0,2024-07-16T16:05:00,London,630,$608
Virgin Atlantic,142,Los Angeles,2024-07-16T19:10:00,0,2024-07-17T13:30:00,London,620,$608
British Airways,268,Los Angeles,2024-07-16T19:40:00,0,2024-07-17T14:00:00,London,620,$611
Virgin Atlantic,8,Los Angeles,2024-07-16T15:55:00,0,2024-07-17T10:15:00,London,620,$608
British Airways,282,Los Angeles,2024-07-16T15:50:00,0,2024-07-17T10:10:00,London,620,$611
British Airways,1604,Los Angeles,2024-07-16T18:20:00,0,2024-07-17T12:50:00,London,630,$611
Delta,5925,Los Angeles,2024-07-16T19:10:00,0,2024-07-17T13:30:00,London,620,$608
Delta,5978,Los Angeles,2024-07-16T15:55:00,0,2024-07-17T10:15:00,London,620,$608
British Airways,1509,Los Angeles,2024-07-16T14:30:00,0,2024-07-17T09:00:00,London,630,$611
Virgin Atlantic,24,Los Angeles,2024-07-16T22:55:00,0,2024-07-17T17:15:00,London,620,$608
British Airways,1613,Los Angeles,2024-07-16T21:35:00,0,2024-07-17T16:05:00,London,630,$611
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-17T16:30:00,0,2024-07-18T10:55:00,London,625,$229
British Airways,268,Los Angeles,2024-07-17T19:40:00,0,2024-07-18T14:00:00,London,620,$608
Virgin Atlantic,142,Los Angeles,2024-07-17T19:10:00,0,2024-07-18T13:30:00,London,620,$608
British Airways,280,Los Angeles,2024-07-17T17:10:00,0,2024-07-18T11:30:00,London,620,$608
Virgin Atlantic,8,Los Angeles,2024-07-17T15:55:00,0,2024-07-18T10:15:00,London,620,$608
Virgin Atlantic,24,Los Angeles,2024-07-17T22:55:00,0,2024-07-18T17:15:00,London,620,$608
American Airlines,6983,Los Angeles,2024-07-17T19:40:00,0,2024-07-18T14:00:00,London,620,$608
Alaska Airlines,8034,Los Angeles,2024-07-17T18:20:00,0,2024-07-18T12:50:00,London,630,$597
Delta,5925,Los Angeles,2024-07-17T19:10:00,0,2024-07-18T13:30:00,London,620,$608
Alaska Airlines,8036,Los Angeles,2024-07-17T14:30:00,0,2024-07-18T09:00:00,London,630,$597
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-18T16:30:00,0,2024-07-19T10:55:00,London,625,$227
United,923,Los Angeles,2024-07-18T17:00:00,0,2024-07-19T11:25:00,London,625,$628
United,231,Los Angeles,2024-07-18T13:00:00,0,2024-07-19T07:25:00,London,625,$628
Virgin Atlantic,142,Los Angeles,2024-07-18T19:10:00,0,2024-07-19T13:30:00,London,620,$658
Virgin Atlantic,8,Los Angeles,2024-07-18T15:55:00,0,2024-07-19T10:15:00,London,620,$658
Virgin Atlantic,24,Los Angeles,2024-07-18T22:55:00,0,2024-07-19T17:15:00,London,620,$658
Delta,5925,Los Angeles,2024-07-18T19:10:00,0,2024-07-19T13:30:00,London,620,$658
Delta,5976,Los Angeles,2024-07-18T22:55:00,0,2024-07-19T17:15:00,London,620,$658
Delta,5978,Los Angeles,2024-07-18T15:55:00,0,2024-07-19T10:15:00,London,620,$658
British Airways,268,Los Angeles,2024-07-18T19:40:00,0,2024-07-19T14:00:00,London,620,$708
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-19T16:30:00,0,2024-07-20T10:55:00,London,625,$229
United,923,Los Angeles,2024-07-19T17:00:00,0,2024-07-20T11:25:00,London,625,$628
Virgin Atlantic,142,Los Angeles,2024-07-19T19:10:00,0,2024-07-20T13:30:00,London,620,$658
United,231,Los Angeles,2024-07-19T13:00:00,0,2024-07-20T07:25:00,London,625,$628
Virgin Atlantic,8,Los Angeles,2024-07-19T15:55:00,0,2024-07-20T10:15:00,London,620,$658
Delta,5925,Los Angeles,2024-07-19T19:10:00,0,2024-07-20T13:30:00,London,620,$658
Delta,5978,Los Angeles,2024-07-19T15:55:00,0,2024-07-20T10:15:00,London,620,$658
British Airways,268,Los Angeles,2024-07-19T19:40:00,0,2024-07-20T14:00:00,London,620,$708
British Airways,280,Los Angeles,2024-07-19T17:10:00,0,2024-07-20T11:30:00,London,620,$708
British Airways,282,Los Angeles,2024-07-19T15:50:00,0,2024-07-20T10:10:00,London,620,$708
Norse Atlantic Airways (UK),712,Los Angeles,2024-07-20T16:30:00,0,2024-07-21T10:55:00,London,625,$236
Iberia,7440,Los Angeles,2024-07-20T15:50:00,0,2024-07-21T10:10:00,London,620,$708
British Airways,282,Los Angeles,2024-07-20T15:50:00,0,2024-07-21T10:10:00,London,620,$793
Iberia,4237,Los Angeles,2024-07-20T14:30:00,0,2024-07-21T09:00:00,London,630,$708
British Airways,1509,Los Angeles,2024-07-20T14:30:00,0,2024-07-21T09:00:00,London,630,$788
Iberia,7428,Los Angeles,2024-07-20T19:40:00,0,2024-07-21T14:00:00,London,620,$708
British Airways,268,Los Angeles,2024-07-20T19:40:00,0,2024-07-21T14:00:00,London,620,$793
British Airways,1613,Los Angeles,2024-07-20T21:35:00,0,2024-07-21T16:05:00,London,630,$787
British Airways,1604,Los Angeles,2024-07-20T18:20:00,0,2024-07-21T12:50:00,London,630,$787
Iberia,4262,Los Angeles,2024-07-20T18:20:00,0,2024-07-21T12:50:00,London,630,$708
